,traffic,accident,incidents,suicide,murders,attempt-to-murder,car-accident,attack
146,Manohar Lal Khattar's anti-farmer agenda exposed: Amarinder Singh hits back at Haryana CM,"Digvijaya says Congress will have a 'relook' at Article 370 revocation, BJP hits out","Supreme Court seeks reply from Centre, states on COVID-19 guidelines, fire safety in hospitals",Patel’s plot is to grab locals’ land and help builders: Lakshadweep MP,Rhea Chakraborty requests Amit Shah to initiate CBI probe into Sushant Singh Rajput's death; says she has been receiving threats,Confusion galore after Rakesh Maria's removal: Who’s in charge of Sheena Bora murder case?,Mercedes-Benz ESF 2019: A plug-in hybrid of the future; can it make Indian roads safer?,"Afghanistan-Taliban crisis: Indian Embassy in Kabul safe, operational; salary of local staff disbursed"
147,"ED notice a love letter for political workers, not death warrant: Shiv Sena MP Sanjay Raut",Haryana govt pushed future of youth into darkness: Surjewala,"China planned Galwan Valley incident, says US-China Economic and Security Review Commission report",AAP will contest all seats in 2022 Gujarat polls: Kejriwal; says BJP and Congress in 'tacit' alliance,"Dubey faced 61 FIRs - Eight of murder, involving at least 15 killings: Police document","Sheena murder case: Custody extended, police say Indrani Mukerjea a ""hard nut to crack""",How coming disruptions and upcoming trends will reshape Motown over the next decade,"India is fast becoming the global ransomware capital, says NPCI CEO"
148,Lathicharge on Haryana farmers akin to second Jallianwala Bagh; Khattar govt must go: Shiv Sena,Here’s how to choose the right cover against accidents,"Centre asks states, UTs to ensure fire safety measures in hospitals",Opposition in Assam allege BJP govt is making U-turn on the micro finance loan waiver scheme,"NHRC send notices to UP government, DGP over murder of journalist who reported on sand mafia","Sheena Bora murder case: Indrani Mukejea, ex-husband Sanjay Khanna to be produced in court",Family Finance: High surplus will help Rawats' achieve their money goals,Karnataka issues high alert in coastal areas following inputs of terrorist activities in Kerala
149,"Police lathi-charge on farmers in Karnal triggers protests in Punjab, opposition attack on Manohar Lal Khattar govt","Mechanical faults caused 2016's Pakistan International Airlines crash, investigation finds",Rahul Gandhi condoles loss of lives in fire incident in Rajkot's Covid-19 hospital,Farmer leaders to meet Mamata to elicit support for stir,"Delhi violence: Police files 3 charge sheets before court in cases related to murder, rioting","Sheena murder case: ‘Ignored by cops’, Rahul kept Sheena’s passport to himself",3 killed as Howrah-Jagdalpur Samaleswari Express hits maintenance tower car in Odisha,Why India must be watchful against the ‘Islamic State vs Taliban’ narrative
150,Congress condemns lathicharge on farmers in Haryana's Karnal,Does everyone need a life insurance policy?,Bihar: RJD finds itself on back foot after alleged phone calls incident,Haryana govt pushed future of youth into darkness: Surjewala,Ratan Tata calls killing of pregnant elephant a 'meditated murder'; Virat Kohli condemns animal cruelty,"View: Let’s make a desi Game of Thrones, rather than murdering our mythos",Why your motor insurance policy will not pay full cost of car damage repair,Evacuation flights resume in Kabul after deadly bombings
151,Punjab govt to reward those who provide information that leads to drugs recovery,"Around 30,000 people lost their lives in last three years due to accidents on railway tracks",Indian-origin peer Lord Meghnad Desai resigns from Labour Party over incidents of racism,Administrator never tried to understand islanders' culture: Lakshadweep MP,Joe Exotic to hand over zoo ownership to nemesis he tried to kill,Pakistan court sentences 5 Muttahida Qaumi Movement activists to 25 years jail,Howrah-New Delhi Poorva Express derails near Kanpur; 15 injured,"Islamic State says it targeted US troops, Afghans in Kabul"
152,"Passenger tries to open emergency door mid-flight, handed over to police in Varanasi: SpiceJet",Cashless treatment scheme soon for road accident victims with Rs 2.5 lakh cap per case,Chhattisgarh CM and Amit Shah discuss a 10-point action plan to tackle Left Wing Extremist,"India has 0.75 psychiatrists per 100,000 people. Can telepsychiatry bridge the gap between mental health experts & patients?","America Inc slams George Floyd murder; Sundar Pichai's solidarity gesture, Cook asks employees to be agents of 'change'",Delhi High Court seeks police response on convicts plea in Phoolan Devi murder case,No increase in third-party cover for motorists,"India, Pakistan issue diplomatic visas to each other after 28 months"
153,"Ship blocking Suez Canal moves slightly, unclear when it will refloat","24 migrant labourers killed, 36 injured in truck collision in Uttar Pradesh",'Woman burnt alive in Bihar': Rahul accuses Nitish of 'hiding' incident for electoral gain,"Stress, self-injuries and suicide: India battles mental health crisis as COVID tally spikes","Amityville horror: Zoom call goes horribly wrong, son fatally stabs father in the middle of a virtual chat",Murderous attack on CJI A N Ray in 1975; SC exempts convict from surrendering,Indian roads: Fatalities in mishaps high despite better construction and use of tech,"China condemns suicide attack on its nationals in Gwadar, asks Pakistan to take effective measures"
154,"Domestic air traffic may be back to full pre-COVID-19 level by summer, says Puri","Freight train runs over ‘migrants sleeping on tracks’, 16 killed","India has taken up with Bangladesh authorities violence targeting Hindus, incident being probed: MEA",Balakot strikes thwarted JeM plan to release video of Pulwama suicide bomber,SP leader murder: Yogi govt says MGNREGA road work only after dispute resolution,Punjab and Haryana High Court cancels 'godman' Rampal's bail in 2006 murder case,Locally-manufactured cars may face the salt spray test,Use of force by marshals during ruckus in RS indirect attack on MPs: Sharad Pawar
155,Bengaluru airport posts jump in share of non-metro traffic from 55% to 64%,Pained beyond words at death of migrants: JP Nadda,"Nearly 40,000 stubble burning incidents reported in Punjab so far this year",Sameer Sharma of 'Kyunki Saas Bhi Kabhi Bahu Thi' fame dies by suicide at 44,Government to slap case of attempt to murder under section 307 IPC against those who attempt to enter the Sikkim illegally: CM P.S. Golay,1975 L N Mishra murder case: Court fixes December 8 for verdict,"Singer Nitin Bali, who shot to fame in the 90s, passes away in Mumbai road accident","Opposition MPs refute attack charge, say government rushing with bills bypassing house panels"
156,"Delhi-Mumbai expressway will ease traffic load, says Transport Minister Nitin Gadkari",'Batwoman' crew member paralysed after accident on the set of show,"EC removes Munger DM, SP amid fresh violence; seeks inquiry report in seven days","Sushant was not depressed, says Ankita Lokhande; feels there is a 'big reason' behind actor's suicide",Sindh govt moves Pak SC against acquittals in Daniel Pearl murder case,Phoolan Devi murder: Delhi court awards life term to Sher Singh Rana,Revisit India's most horrific train accident that killed over 500 people 'today',"Qatar panel tells Taliban to stop attacks, warns any govt established by force won't be recognised"
157,"Indians spend most amount of time on smartphones globally, data traffic jumped 60 times in 5 years",Elevator makers lobby for national safety standards amid rising accidents,"More locals join militants in J&K, killing also sees a spike",Sushant Singh Rajput's father lodges FIR against Rhea Chakraborty for abetment to suicide,"US slams Pakistan court's verdict in Daniel Pearl murder case, calls it 'affront' to victims of terrorism","Phoolan murder: Sher Singh Rana's presence at spot, use of car nails him",Who’s winning the self-driving car race?,"Sundar Pichai says free, open internet under attack"
158,International passenger traffic fell by 90.56 pc in March-December 2020: Government,Yogi Adityanath ropes in private companies to catch cattle on Agra Expressway,Poor state of women safety in Uttar Pradesh disturbing: Priyanka Gandhi,YRF boss Aditya Chopra questioned by Mumbai Police in Sushant S Rajput's suicide case,Delhi riots: Five more arrested in IB staffer Ankit Sharma murder case,Maid murder: Court grants two months interim bail to BSP MP,"Vehicles of President, VP to soon have number plates: Delhi High Court told",Drone attacks by Iraqi militias reflect Iran's waning hold
159,Govt may allow private air traffic controllers to manage drones in lower airspace,Seven dead as passenger vehicle falls into gorge in J-K's Kathua,"31 people dead in rain-related incidents in Telangana, AP, Maharashtra; heavy damage in Karnataka",Sushant Singh Rajput dies by suicide at Bandra home; actor had spoken to his sister at 9 am,No more murder mysteries: Apple's new 'no iPhones for baddies' policy could ruin suspense thrillers,Demands for CBI probe in T P Chandrashekharan murder case rise,We will launch light helmets to combat fakes: Nitin Gadkari,Biden: US damage appears minimal in big ransomware attack
160,"Passenger traffic at airports in tier 2, 3 cities higher than pre-COVID levels: IATA",DGCA starts training schools audit after more accidents,"Four days before Hathras incident, UP DGP wrote to officers that sexual crimes were making women feel unsafe","Maha cops warn people about posting Sushant Singh Rajput’s pics on social media, say that it may ‘invite legal action’",Unnao murder case: Delhi court defers judgment to Wednesday,"Samjhauta Express blasts: Sedition, murder charges framed against Assemanand",Rs 18 lakh crore: What India could gain by cutting road deaths,"Rahul Gandhi attacks govt on MNREGA wages, asks are these 'acche din'"
161,Farmers' protest: Several roads remain closed in Delhi,"Shabana Azmi 'stable and recovering' after accident, confirm sources",UP CM should have decency to call Hathras incident a tragedy: Rahul,Taliban suicide bomber kills 7 troops in eastern Afghanistan,Rising cases of rape: Centre says ready to explore stringent provisions in law,Maid murder case: Court allows BSP MP's plea to sign documents,For safe passage commuters demand underpass facility,Iran accuses Israel of June attack on civilian nuclear site
162,Too busy fighting for our rights to be afraid of COVID-19: 'Maskless' farmers at Tikri border,"Road accidents claimed over 1.5 lakh lives in 2018, over-speeding major killer",View: Only a sustained project of strengthening democracy can prevent incidents like Hathras,German minister commits suicide after 'virus crisis worries',"Vet's rape, murder case in fast track court, announces KCR",Maid murder case: BSP MP moves court to attend Parliament session,"From Ayrton Senna to Princess Diana, remembering legends who lost their lives in the fast lane","Russia drills attack helicopters, pledges help to secure Tajik-Afghan border"
